actual_outcome,prob_0,prob_1,pred_target,decile
0,0.9906306864886243,0.009369313511375708,0,1
0,0.9895285079628591,0.010471492037140914,0,1
0,0.9883602657741235,0.011639734225876473,0,1
0,0.988002106179818,0.011997893820182013,0,1
0,0.9870233885016152,0.012976611498384796,0,1
0,0.9869311259193932,0.01306887408060672,0,1
0,0.9860170374984369,0.013982962501563011,0,1
0,0.9858019827782435,0.014198017221756476,0,1
0,0.9855340762316062,0.014465923768393818,0,1
0,0.9840512261140891,0.015948773885910858,0,1
0,0.9840018556938662,0.015998144306133825,0,1
0,0.9839206461257118,0.016079353874288115,0,1
0,0.983824038776279,0.01617596122372103,0,1
0,0.9836310861112363,0.016368913888763745,0,1
0,0.9834698955255007,0.016530104474499284,0,1
0,0.9833616702366063,0.016638329763393765,0,1
0,0.9830905375030858,0.016909462496914215,0,1
0,0.983082885505102,0.01691711449489799,0,1
0,0.9829576225450123,0.017042377454987722,0,1
0,0.9828105312771194,0.017189468722880616,0,1
0,0.9826447751013635,0.01735522489863651,0,1
0,0.9824176311267498,0.017582368873250126,0,1
0,0.9824024418637693,0.01759755813623065,0,1
0,0.982331431038195,0.017668568961804992,0,1
0,0.9823098245464342,0.0176901754535658,0,1
0,0.9822239546330482,0.017776045366951765,0,1
0,0.9819621653981071,0.018037834601892937,0,1
0,0.9817889004621829,0.018211099537817046,0,1
0,0.9817291718317853,0.01827082816821466,0,1
0,0.9813680624175589,0.01863193758244111,0,1
0,0.9811553919365104,0.018844608063489608,0,1
0,0.9811039987340076,0.018896001265992408,0,1
0,0.9810319880601704,0.018968011939829537,0,1
0,0.9804429379448231,0.019557062055176974,0,1
0,0.9803394056235638,0.019660594376436177,0,1
0,0.9801781658799067,0.019821834120093345,0,1
0,0.9800791127516663,0.019920887248333696,0,1
0,0.9800429711685399,0.01995702883146011,0,1
0,0.9799587895954205,0.020041210404579533,0,1
0,0.9798322186235451,0.020167781376454894,0,1
0,0.979613823798272,0.02038617620172802,0,1
0,0.9795546811964381,0.02044531880356197,0,1
0,0.9792168525587797,0.020783147441220323,0,1
0,0.9789807471024876,0.02101925289751244,0,1
0,0.9787653237816037,0.02123467621839629,0,1
0,0.9787017757252272,0.021298224274772747,0,1
0,0.978644293222395,0.021355706777604972,0,1
0,0.978052328578793,0.02194767142120699,0,1
0,0.978046022472967,0.021953977527033004,0,1
0,0.9778399491606422,0.022160050839357747,0,1
0,0.977751091137614,0.02224890886238592,0,1
0,0.977535095747492,0.022464904252508012,0,1
0,0.9773498456897691,0.02265015431023086,0,1
0,0.9767389982903969,0.023261001709603046,0,1
0,0.9765282985181308,0.02347170148186914,0,1
0,0.9759177093112559,0.024082290688744155,0,1
0,0.9755950071846612,0.024404992815338773,0,1
0,0.9755891706437181,0.02441082935628197,0,1
0,0.9750784664895477,0.024921533510452346,0,1
0,0.9750021664709234,0.024997833529076547,0,1
0,0.974795398361109,0.025204601638891027,0,2
0,0.9747589580800133,0.025241041919986662,0,2
0,0.9747127697307153,0.02528723026928473,0,2
0,0.9745831947800598,0.025416805219940164,0,2
0,0.9743415703110907,0.025658429688909294,0,2
0,0.9740635833777307,0.025936416622269365,0,2
0,0.9739311746889493,0.02606882531105073,0,2
0,0.9734154139105474,0.026584586089452574,0,2
0,0.9733012192309906,0.026698780769009393,0,2
0,0.9732780423371528,0.02672195766284722,0,2
0,0.9729054606519523,0.027094539348047716,0,2
0,0.9726075954738657,0.02739240452613438,0,2
0,0.9723647936898745,0.027635206310125494,0,2
0,0.9723159599811266,0.02768404001887335,0,2
0,0.9721899065617718,0.02781009343822813,0,2
0,0.9720350127497509,0.027964987250249075,0,2
0,0.9716469296152366,0.02835307038476339,0,2
0,0.9714392365339688,0.028560763466031255,0,2
0,0.9711888801756149,0.02881111982438516,0,2
0,0.9709759597643768,0.029024040235623258,0,2
0,0.9707139591178238,0.029286040882176186,0,2
0,0.9706272427984094,0.02937275720159056,0,2
0,0.9705870938318554,0.02941290616814464,0,2
0,0.970310238896279,0.029689761103721013,0,2
0,0.9700900207975108,0.02990997920248921,0,2
0,0.9699339795114641,0.03006602048853588,0,2
0,0.9696862978987949,0.030313702101205087,0,2
0,0.9695866117572415,0.0304133882427585,0,2
0,0.9695169825309687,0.030483017469031294,0,2
0,0.9693410174826794,0.030658982517320604,0,2
0,0.9692980428435336,0.030701957156466366,0,2
0,0.969181921995316,0.030818078004683964,0,2
0,0.968937178719819,0.03106282128018102,0,2
0,0.9684215723346936,0.03157842766530637,0,2
0,0.9682933241560964,0.0317066758439036,0,2
0,0.9682613563260399,0.03173864367396006,0,2
0,0.9679643014246507,0.032035698575349235,0,2
0,0.9679289495924098,0.03207105040759014,0,2
0,0.9679091517528577,0.03209084824714227,0,2
0,0.9676586566565464,0.0323413433434536,0,2
0,0.9674031057965773,0.03259689420342267,0,2
0,0.9670038048468271,0.03299619515317285,0,2
